id,card_no,name_cn,name_jp,craft,card_type,type,rare,from,cost,attack,life,desc_cn,desc_jp,related_card_nos,title,race,drawer,speech
6504,PCS01-001,可可萝,コッコロ,Forest,Follower,プリコネ・美食殿,SL,PCS01,1,1,1,"《UB》《入场曲》使自己的主战者《生命值》+1。
----------
《进化》《消费1》：使这张卡进化。
《入场曲》《消费2》：将1张『爱梅斯守护符』卡装备到这张卡。","UBファンファーレ自分のリーダーは体力+1する。
----------
進化コスト1：これは進化する。
ファンファーレコスト2：これは『アメスアミュレット』1枚を装備する。
―――――――――――――――
『アメスアミュレット』エルフプリコネ・美食殿・イクイップメントコスト2これを装備しているフォロワーは「起動これをアクト：自分の場のフォロワーすべては攻撃力+1/体力+1する」を持つ。",CP04-T01 PCS01-002,プリンセスコネクト！Re:Dive,,,"この舞は主さまのためだけに捧げるものでございます。
恐れ多くはありますが、どうか見守っていてくださいまし。"
6505,PCS01-002,可可萝,コッコロ,Forest,FollowerEvo,プリコネ・美食殿,SL,PCS01,-1,2,2,"【进化时】抽取1张卡。
【超进化时】使自己的主战者《生命值》+2。抽取1张卡。","【進化時】1枚引く。
【超進化時】自分のリーダーは体力+2する。1枚引く。",PCS01-001,プリンセスコネクト！Re:Dive,,,"猛き風の精霊よ……！
未来に向かって歩むわたくしたちの背中に、祝福の追い風を！"
6506,PCS01-003,真琴,マコト,Forest,Follower,プリコネ・カォン,SL,PCS01,2,3,2,《UB》《入场曲》将场上的3张卡片《横置》：选择敌方场上的1个从者。给予其4点伤害。给予其主战者2点伤害。,UBファンファーレ場のカード3枚をアクト：相手の場のフォロワー1体を選ぶ。それに4ダメージ。それのリーダーに2ダメージ。,,プリンセスコネクト！Re:Dive,,,"あたしの本能が目覚めちまったぜ。こっから先は手加減なしだ。
この研ぎ澄まされた爪と牙で刻みつけてやる……あたしの力を！"
6507,PCS01-004,璃乃,リノ,Forest,Follower,プリコネ・ラビリンス,SL,PCS01,1,1,1,"《进化》《消费2》：使这张卡进化。
《入场曲》如果这张卡从EX区域使用的话，使这张卡进化。","進化コスト2：これは進化する。
ファンファーレこれがEXエリアからプレイされていたなら、これは進化する。",PCS01-005,プリンセスコネクト！Re:Dive,,,"妹さえいれば兄に金棒ですよ！
私の活躍、しっかり見てて下さいね。お兄ちゃん♪"
6508,PCS01-005,静流&璃乃,シズル＆リノ,Forest,FollowerEvo,プリコネ・ラビリンス,SL,PCS01,-1,2,2,,UB【進化時】相手の場のフォロワーすべてに1ダメージ。,CP04-010 PCS01-004,プリンセスコネクト！Re:Dive,,,"お兄ちゃん、さぁどうぞ。私とお姉ちゃんの間に♪
えへへ、どうですか？これが姉妹ホールドですっ♪"
6509,PCS01-006,铃奈,スズナ,Forest,Follower,プリコネ・ルーセント学院,SL,PCS01,3,5,5,"《UB》《起动》将这张卡《横置》：选择敌方场上的1个从者。给予其3点伤害。
----------
《入场曲》将自己的1张手牌舍弃。","UB起動これをアクト：相手の場のフォロワー1体を選ぶ。それに3ダメージ。
----------
ファンファーレ自分の手札1枚を捨てる。",,プリンセスコネクト！Re:Dive,,,"ばっきゅ～ん♪どうどう？うちのランウェイ！もにカワっしょ？
あ、ヒデサイ顔赤くなっててわろ～♪"
6510,PCS01-007,极光治疗,オーロラヒーリング,Forest,Spell,プリコネ・美食殿,SL,PCS01,1,-1,-1,选择自己场上的1个公主连结类型·从者。将其竖置。这个回合，使其不能对敌方进行攻击。如果其原始消费为1的话，抽取1张卡。,自分の場のプリコネ・フォロワー1体を選ぶ。それをスタンドする。このターン、それは相手を攻撃できない。それの元のコストが1なら、1枚引く。,,プリンセスコネクト！Re:Dive,,,"何かあれば、わたくしをお呼びください。
全身全霊で主さまの要求にお応えいたします。"
6511,PCS01-008,佩可莉姆,ペコリーヌ,Sword,Follower,プリコネ・美食殿,SL,PCS01,3,3,3,"《进化》《消费1》：使这张卡进化。
【守护】
《入场曲》《消费2》：将1张『公主之剑』卡装备到这张卡。","進化コスト1：これは進化する。
【守護】
ファンファーレコスト2：これは『プリンセスソード』1枚を装備する。
―――――――――――――――
『プリンセスソード』ロイヤルプリコネ・美食殿・イクイップメントコスト2これを装備しているフォロワーが与えるダメージを+2する。これを装備しているフォロワーが受けるダメージを-2する。",CP04-T02 PCS01-009,プリンセスコネクト！Re:Dive,,,"おせち、心を込めて作りました♪
見た目はちょっとアレかもしれませんが、どうぞ召し上がれ☆"
6512,PCS01-009,佩可莉姆,ペコリーヌ,Sword,FollowerEvo,プリコネ・美食殿,SL,PCS01,-1,4,4,"《UB》【进化时】选择敌方场上的1个从者。给予其4点伤害。
----------
【守护】
【超进化时】给予敌方的全体主战者各4点伤害。","UB【進化時】相手の場のフォロワー1体を選ぶ。それに4ダメージ。
----------
【守護】
【超進化時】相手のリーダーすべてに4ダメージ。",PCS01-008,プリンセスコネクト！Re:Dive,,,"あなたの想いを全部受け止めて、わたしの力に変えてみせます！
だから、あなたの全力全開を見せてください！"
6513,PCS01-010,克蕾琪塔,クレジッタ,Sword,Follower,プリコネ・リッチモンド商工会,SL,PCS01,4,3,4,"《UB》《起动》将这张卡《横置》：选择敌方场上的1个从者。这个回合，使其受到的伤害+2。
----------
《入场曲》从自己的牌堆之中搜寻1张「卡片名包含『佩可莉姆』的从者卡」，并置于EX区域。这个回合，将其使用使用之际，将其消费-3。","UB起動これをアクト：相手の場のフォロワー1体を選ぶ。このターン、それが受けるダメージを+2する。
----------
ファンファーレ自分のデッキから「カード名に『ペコリーヌ』を含むフォロワー」1枚を探し、EXエリアに置く。このターン、それをプレイする際、コストを-3する。",PCS01-008,プリンセスコネクト！Re:Dive,,,"ちょっと少年？お仕事ですわよ。こちらにいらっしゃいな。
まさか緊張なさっているとでも？あらあら、おませさんですわね♪"
6514,PCS01-011,静流,シズル,Sword,Follower,プリコネ・ラビリンス,SL,PCS01,3,2,4,"《UB》《起动》将这张卡《横置》：选择敌方场上的1个从者。给予其1点伤害。使自己的主战者《生命值》+1。
----------
【守护】
《入场曲》从自己的牌堆之中搜寻原始消费为1的持有《进化》能力的1张公主连结类型·从者卡，并置于EX区域。","UB起動これをアクト：相手の場のフォロワー1体を選ぶ。それに1ダメージ。自分のリーダーは体力+1する。
----------
【守護】
ファンファーレ自分のデッキから元のコスト1の進化を持つプリコネ・フォロワー1枚を探し、EXエリアに置く。",,プリンセスコネクト！Re:Dive,,,"弟くんっ、お姉ちゃんだよっ☆えへへ、ビックリした？
じゃあ今度は驚かないように耳元で優しく……お姉ちゃんだよ♪"
6515,PCS01-012,流夏,ルカ,Sword,Follower,プリコネ・トワイライトキャラバン,SL,PCS01,2,3,3,"《UB》《起动》《消费1》将这张卡《横置》：选择敌方场上的1个从者。给予其2点伤害。
----------
【守护】（当这张卡召唤到场上时、或自己的结束阶段中，可以将这张卡横置。只要有「处于横置状态并持有【守护】能力的从者」存在，敌方不能攻击那以外的目标）","UB起動コスト1これをアクト：相手の場のフォロワー1体を選ぶ。それに2ダメージ。
----------
【守護】",,プリンセスコネクト！Re:Dive,,,"惚れたからにゃ命懸けさ。さぁ――
アタシの恋路を邪魔するのはどいつだい！斬り刻んでやるよ！"
6516,PCS01-013,妮侬,ニノン,Sword,Follower,プリコネ・ヴァイスフリューゲル,SL,PCS01,2,2,2,"《UB》《起动》《消费4》将这张卡《横置》：选择敌方场上的1个从者。给予其5点伤害。将这张卡竖置。这个能力在1回合可以使用1次。
----------
当自己场上的其他的从者的《UB》能力发动时，使这张卡《攻击力》+1/《生命值》+1。","UB起動コスト4これをアクト：相手の場のフォロワー1体を選ぶ。それに5ダメージ。これをスタンドする。この能力は1ターンに1回使える。
----------
自分の場の他のフォロワーのUB能力が発動したとき、これは攻撃力+1/体力+1する。",,プリンセスコネクト！Re:Dive,,,"シンリャクすること火の如くデス。ささ、ショーグンご命令を！
最高のイクサバタラキを、ご披露いたソウロウデス！"
6517,PCS01-014,公主突袭,プリンセスストライク,Sword,Spell,プリコネ・美食殿,SL,PCS01,3,-1,-1,"将这张卡使用之际，将场上的1个「卡片名包含『佩可莉姆』的从者」《横置》：将消费-3。
选择敌方场上的1个从者。给予其5点伤害。给予其主战者2点伤害。","これをプレイする際、場の「カード名に『ペコリーヌ』を含むフォロワー」1体をアクト：コストを-3する。
相手の場のフォロワー1体を選ぶ。それに5ダメージ。それのリーダーに2ダメージ。",PCS01-008 PCS01-009,プリンセスコネクト！Re:Dive,,,"ドッ、ドラ、ドラゴ～ン♪
ドドラ、ドララ、ゴンゴゴン♪カモン、ド～ラゴ～ン♪"
6518,PCS01-015,凯露,キャル,Rune,Follower,プリコネ・美食殿,SL,PCS01,4,3,4,"《UB》《入场曲》将手牌中的1张法术卡舍弃：选择敌方场上的1个从者。给予其3点伤害。抽取1张卡。
----------
《进化》《消费1》：使这张卡进化。
《入场曲》《消费2》：将1张『混沌魔法书』卡装备到这张卡。","UBファンファーレ手札のスペル1枚を捨てる：相手の場のフォロワー1体を選ぶ。それに3ダメージ。1枚引く。
----------
進化コスト1：これは進化する。
ファンファーレコスト2：これは『ケイオスグリモワール』1枚を装備する。",CP04-T06 PCS01-016,プリンセスコネクト！Re:Dive,,,"ほら、行くわよ。疲れたっていうなら手繋いでやっても……。
ほ、本当に繋ぐ気？べ、別にいいけど……。"
6519,PCS01-016,凯露,キャル,Rune,FollowerEvo,プリコネ・美食殿,SL,PCS01,-1,4,5,"【进化时】选择敌方场上的1个从者。给予其5点伤害。
【超进化时】选择自己的墓场中的卡片名各不相同的法术卡最多2张。将其置于EX区域。这个回合，将其使用之际，将其消费-2。","【進化時】相手の場のフォロワー1体を選ぶ。それに5ダメージ。
【超進化時】自分の墓場のスペルをカード名が異なるように2枚まで選ぶ。それをEXエリアに置く。このターン、それをプレイする際、コストを-2する。",PCS01-015,プリンセスコネクト！Re:Dive,,,"どうしようもないあたしを、あんたは受け入れてくれた。
だからあたしも……あんたの全部を受け入れるわ！"
6520,PCS01-017,真步,マホ,Rune,Follower,プリコネ・カォン,SL,PCS01,2,2,2,"《UB》《入场曲》选择自己的主战者或自己场上的其他的1个从者。使其《生命值》+1。
----------
《进化》《消费1》：使这张卡进化。","UBファンファーレ自分のリーダーか自分の場の他のフォロワー1体を選ぶ。それは体力+1する。
----------
進化コスト1：これは進化する。",CP04-042,プリンセスコネクト！Re:Dive,,,"マホマホ王国のお茶会へようこそ。
マホ姫が王子はんのために、愛を込めておもてなししますわぁ♪"
6521,PCS01-018,镜华,キョウカ,Rune,Follower,プリコネ・リトルリリカル,SL,PCS01,2,2,2,"《进化》《消费1》：使这张卡进化。
《入场曲》选择自己的墓场中的1张公主连结类型·法术卡。将其置于EX区域。使其获得「当自己的结束阶段到来时，将自己EX区域的这张卡置于墓场」能力。","進化コスト1：これは進化する。
ファンファーレ自分の墓場のプリコネ・スペル1枚を選ぶ。それをEXエリアに置く。それは「自分のエンドフェイズが来たとき、自分のEXエリアのこれを墓場に置く」を持つ。",PCS01-019,プリンセスコネクト！Re:Dive,,,"私、もう子供じゃないんですから、ひとりでも戦えますっ！
今度は私があなたを守れるようになるんですからっ！"
6522,PCS01-019,未奏希&美美&镜华,ミソギ＆ミミ＆キョウカ,Rune,FollowerEvo,プリコネ・リトルリリカル,SL,PCS01,-1,3,3,,UB【進化時】相手の場のフォロワー1体を選ぶ。それに2ダメージ。このターン、自分がスペルをプレイしていたなら、それのリーダーに2ダメージ。,CP04-046 PCS01-018,プリンセスコネクト！Re:Dive,,,"いこうミミ、ミソギ！私たちの絆の力を見せつけよう！
【リトルリリカル】にできないことはないんだから！"
6523,PCS01-020,七七香,ナナカ,Rune,Follower,プリコネ・トワイライトキャラバン,SL,PCS01,3,3,3,"《UB》《入场曲》将手牌中的1张法术卡舍弃：选择敌方场上的1个从者。给予其5点伤害。
----------
每个回合1次，当自己场上的其他的从者的《UB》能力发动时，选择自己的墓场中的1张公主连结类型·法术卡。将其置于EX区域。","UBファンファーレ手札のスペル1枚を捨てる：相手の場のフォロワー1体を選ぶ。それに5ダメージ。
----------
ターンごとに1回、自分の場の他のフォロワーのUB能力が発動したとき、自分の墓場のプリコネ・スペル1枚を選ぶ。それをEXエリアに置く。",,プリンセスコネクト！Re:Dive,,,"ふおおー！力がみなぎる！これが君と私の最強奥義……！
二人で一人の魔法少女、サイツヨの合体攻撃だーーッ！"
6524,PCS01-021,黑暗之蚀,ダークエクリプス,Rune,Spell,プリコネ・美食殿,SL,PCS01,2,-1,-1,"当将这张卡从自己的手牌中舍弃时，选择敌方场上的1个从者。给予其1点伤害。
----------
选择自己场上的1个公主连结类型·从者。使其《攻击力》+3，并获得【突进】【指定攻击】能力。（持有【指定攻击】能力的从者，可以对竖置状态的从者进行攻击）","これを自分の手札から捨てたとき、相手の場のフォロワー1体を選ぶ。それに1ダメージ。
----------
自分の場のプリコネ・フォロワー1体を選ぶ。それは攻撃力+3して、【突進】【指定攻撃】を持つ。",,プリンセスコネクト！Re:Dive,,,"あんた、記憶喪失で大変そうだし、あたしが面倒みてあげるわ。
感謝しなさい♪"
6525,PCS01-022,雪菲,シェフィ,Dragon,Follower,プリコネ・美食殿,SL,PCS01,2,2,2,"《UB》《入场曲》选择敌方场上的1个从者。使其在下个其玩家的开始阶段中不能竖置。
----------
《进化》《消费1》：使这张卡进化。
《入场曲》如果处于【觉醒】状态的话，将1张『冰龙剑』卡装备到这张卡。（如果自己的PP最大值为7点及以上的话，就会处于【觉醒】状态）","UBファンファーレ相手の場のフォロワー1体を選ぶ。それは次のそれのプレイヤーのスタートフェイズにスタンドしない。
----------
進化コスト1：これは進化する。
ファンファーレ【覚醒】状態なら、これは『氷竜剣』1枚を装備する。",CP04-056 CP04-T08,プリンセスコネクト！Re:Dive,,,"ど、どうかしら……？コッコロさんと一緒に選んだの……。
着付けも慣れてないし……その……変なところはない……？"
6526,PCS01-023,嘉夜,カヤ,Dragon,Follower,プリコネ・ドラゴンズネスト,SL,PCS01,6,4,4,"《进化》《消费1》：使这张卡进化。
【疾驰】
当自己场上的其他的从者的《UB》能力发动时，给予敌方的全体主战者各2点伤害。
《入场曲》选择敌方场上的1个从者。给予其4点伤害。如果自己的PP最大值为10的话，使这张卡进化。","進化コスト1：これは進化する。
【疾走】
自分の場の他のフォロワーのUB能力が発動したとき、相手のリーダーすべてに2ダメージ。
ファンファーレ相手の場のフォロワー1体を選ぶ。それに4ダメージ。自分のPP最大値が10なら、これは進化する。",PCS01-024,プリンセスコネクト！Re:Dive,,,"くはははっ！すげぇ……！コイツが本当の覚醒か！
最高に気持ちいいぜ！力がたぎって止まらねぇ！"
6527,PCS01-024,嘉夜,カヤ,Dragon,FollowerEvo,プリコネ・ドラゴンズネスト,SL,PCS01,-1,5,5,"《UB》【进化时】从自己的牌堆之中搜寻1张「与这张卡不同名的龙族据点类型·卡片」，并置于EX区域。这个回合，将其使用之际，将其消费-2。
----------
【疾驰】
当自己场上的其他的从者的《UB》能力发动时，给予敌方的全体主战者各2点伤害。","UB【進化時】自分のデッキから「これと同名を除くドラゴンズネスト・カード」1枚を探し、EXエリアに置く。このターン、それをプレイする際、コストを-2する。
----------
【疾走】
自分の場の他のフォロワーのUB能力が発動したとき、相手のリーダーすべてに2ダメージ。",PCS01-023,プリンセスコネクト！Re:Dive,,,"どんな苦難が待っていようが、オレはもう立ち止まらない。
ダチも仲間も、自分自身も！まとめて未来へ連れてくぜ！"
